Brand,Model,CPU,GPU,RAM_GB,Storage_Type,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Price_SGD
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,256,False,1.56,16.0,2649.81
Acer,Nitro 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,SSD,1024,True,1.45,14.0,2003.7
Acer,Nitro 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,2048,False,1.34,14.0,1817.25
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,16,SSD,4096,True,1.18,13.3,2540.6
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,SSD,1024,True,1.31,14.0,2555.98
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,256,False,3.34,17.3,2618.94
Acer,TravelMate P6,Intel i9-14900HK,NVIDIA RTX 4080,128,SSD,1024,True,1.11,13.3,3661.66
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,SSD,2048,True,1.29,13.3,3032.95
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,4096,False,1.4,13.3,2235.49
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,SSD,2048,False,1.15,13.3,2845.0
Acer,Nitro 5,Intel i5-14600H,Intel Iris Xe,32,SSD,256,True,1.06,14.0,1537.15
Acer,Swift 3,Intel i5-14500H,Intel Iris Xe,8,SSD,1024,True,2.47,15.6,1480.35
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,SSD,2048,True,1.6,16.0,2196.71
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,SSD,512,True,1.34,14.0,1911.36
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,128,SSD,1024,False,1.39,14.0,2106.93
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,16,SSD,2048,True,1.68,16.0,2194.8
Acer,Predator Helios 300,Intel i5-14600H,NVIDIA RTX 4050,16,SSD,2048,False,2.89,17.3,1715.27
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,8,SSD,2048,False,2.89,17.3,2393.05
Acer,Swift 3,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,2048,True,2.27,15.6,3001.02
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,8,SSD,512,True,1.95,16.0,1562.19
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,64,SSD,1024,False,3.17,17.3,2040.31
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,4096,True,1.72,16.0,3655.68
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,SSD,2048,True,3.01,18.4,3014.51
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 3050,64,SSD,1024,True,1.16,14.0,1984.98
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,16,SSD,4096,False,1.02,14.0,2880.23
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,SSD,2048,True,2.58,17.3,1775.18
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,16,SSD,512,False,1.53,15.6,2607.96
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 3050,64,SSD,4096,False,1.94,15.6,2165.41
Acer,Swift 3,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,1024,False,1.59,15.6,1628.83
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,SSD,4096,True,2.34,15.6,3120.87
Acer,Swift 3,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,SSD,2048,False,1.22,14.0,1861.82
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,SSD,512,True,1.46,14.0,2707.18
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,32,SSD,2048,True,1.96,16.0,2727.23
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,SSD,2048,False,2.98,18.4,3014.43
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,64,SSD,4096,False,2.23,16.0,3121.91
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,SSD,2048,True,1.48,13.3,2955.4
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,4096,True,2.53,18.4,3544.28
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,SSD,512,True,2.63,18.4,1892.75
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,256,True,2.44,15.6,2834.42
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4070,32,SSD,1024,True,1.19,13.3,2840.32
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,8,SSD,4096,True,1.18,13.3,2956.14
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,8,SSD,1024,False,1.35,14.0,2138.07
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,1024,False,2.92,17.3,2640.25
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,SSD,512,True,3.37,17.3,1571.9
